Entry	Gene ontology IDs
Q9SL43	GO:0008113
Q9LX15	GO:0005615
O15230	GO:0001525; GO:0001658; GO:0001738; GO:0001755; GO:0001942; GO:0005178; GO:0005198; GO:0005576; GO:0005604; GO:0005605; GO:0005610; GO:0005615; GO:0005634; GO:0007010; GO:0007229; GO:0007517; GO:0008037; GO:0008283; GO:0009790; GO:0016331; GO:0016477; GO:0030154; GO:0030155; GO:0030198; GO:0030324; GO:0030334; GO:0031012; GO:0034446; GO:0042127; GO:0042475; GO:0043083; GO:0043259; GO:0043260; GO:0045446; GO:0045995; GO:0048041; GO:0060271; GO:0060445; GO:0070062; GO:0090002
Q00624	GO:0005507; GO:0005576; GO:0016491
C4L691	GO:0005524; GO:0006412; GO:0006450; GO:0016874
O04496	GO:0000166; GO:0004190; GO:0005618; GO:0006508; GO:0009505; GO:0009627; GO:0030163; GO:0043067; GO:0048046
Q9LLC1	GO:0003989; GO:0006633; GO:0009317; GO:0009570; GO:0009941
Q9FDZ9	GO:0003735; GO:0006412; GO:0022625; GO:0042256
Q8BMP6	GO:0000062; GO:0000139; GO:0005739; GO:0005794; GO:0006694; GO:0006810; GO:0016020; GO:0016021; GO:0034237
Q8GW38	GO:0008270; GO:0016021; GO:0043161; GO:0061630
Q7YRH6	GO:0000773; GO:0004608; GO:0005789; GO:0006656; GO:0016021; GO:0031966; GO:0080101
Q9CPR8	GO:0000781; GO:0005634; GO:0005737; GO:0006281; GO:0006310; GO:0006355; GO:0030915; GO:0031398; GO:0034644; GO:0040008; GO:0046983; GO:0071478; GO:0072711
Q43011	GO:0004066; GO:0005524; GO:0006529; GO:0006541; GO:0009646; GO:0042803; GO:0070981
Q9FX01	GO:0003854; GO:0005789; GO:0016020; GO:0016021; GO:0016126; GO:0047012
Q948Z4	GO:0005576; GO:0005618; GO:0006952
Q8LDS4	GO:0005634; GO:0005737; GO:0005783; GO:0009908; GO:0010015; GO:0010233; GO:0030001; GO:0046872; GO:0046914; GO:0046916; GO:0055078
P69834	GO:0009507; GO:0009570; GO:0019288; GO:0050518
Q9SVD7	GO:0005634; GO:0031625; GO:0061630; GO:0070534
Q9LHP1	GO:0000463; GO:0002181; GO:0003729; GO:0003735; GO:0009507; GO:0016020; GO:0022625; GO:0022626; GO:0042255; GO:0042256; GO:0042788
P18025	GO:0003924; GO:0005200; GO:0005525; GO:0005737; GO:0005874; GO:0007017
Q9SJ62	GO:0005737; GO:0005874
Q93Z70	GO:0003942; GO:0005507; GO:0005730; GO:0006526; GO:0009507; GO:0009570; GO:0016020; GO:0046686; GO:0046983; GO:0051287
O23006	GO:0005886; GO:0006952; GO:0008061; GO:0009506; GO:0031225; GO:0046658
Q02723	GO:0004674; GO:0005524; GO:0005975
Q03662	GO:0004364; GO:0009734
P23438	GO:0005783; GO:0005789; GO:0006613; GO:0016021
Q7LBE3	GO:0005254; GO:0005886; GO:0005887; GO:0006811; GO:0006820; GO:0006821; GO:0008271; GO:0009986; GO:0010628; GO:0015106; GO:0015116; GO:0015301; GO:0015701; GO:0016324; GO:0019531; GO:0042391; GO:0051117; GO:0051453; GO:0070062
Q9ZUF6	GO:0004252; GO:0005576; GO:0005618; GO:0005794; GO:0009505; GO:0009506
P26861	GO:0003735; GO:0005739; GO:0005840; GO:0006412; GO:0019843
P29463	GO:0005215; GO:0016021; GO:0031969
P14009	GO:0016021
P83326	GO:0005737; GO:0046910
Q9LTZ9	GO:0000139; GO:0005737; GO:0005773; GO:0016021; GO:0016757; GO:0042546; GO:0071555
Q6QPJ6	GO:0004601; GO:0009534; GO:0045454; GO:0051920
Q8LPK5	GO:0005618; GO:0005794; GO:0005886; GO:0006970; GO:0009414; GO:0009833; GO:0009834; GO:0016021; GO:0016760; GO:0030244; GO:0042742; GO:0046872; GO:0050832; GO:0071555
Q9SX68	GO:0003735; GO:0005730; GO:0005737; GO:0005840; GO:0006412; GO:0008097; GO:0009507; GO:0009570; GO:0009941
Q6K9A2	GO:0005737; GO:0006952; GO:0009809; GO:0016621; GO:0050662
A7PZL3	GO:0004650; GO:0005975; GO:0016021
Q93Y09	GO:0004185; GO:0005576; GO:0009505; GO:0009506; GO:0051603
Q8YMC2	GO:0004821; GO:0005524; GO:0005737; GO:0006427
Q39194	GO:0009523; GO:0009535; GO:0015979; GO:0016021; GO:0042549
P31687	GO:0005524; GO:0009698; GO:0016207
Q8SAB7	GO:0005089; GO:0005634; GO:0005789; GO:0005829; GO:0005886; GO:0007264; GO:0007275; GO:0008064; GO:0008360; GO:0009734; GO:0009958; GO:0010928; GO:0016192; GO:0019898; GO:0051493; GO:0070971
Q9LSD8	GO:0005886
Q9ZQP1	GO:0004439; GO:0004725; GO:0008138
Q9FK68	GO:0003924; GO:0005525; GO:0005634; GO:0005768; GO:0005773; GO:0005829; GO:0005886; GO:0015031; GO:0042546
P46290	GO:0003735; GO:0005840; GO:0006412
Q42961	GO:0004618; GO:0005524; GO:0006096; GO:0009507; GO:0019253
Q9C7A8	GO:0000727; GO:0000811; GO:0031298; GO:0032508; GO:1902975
P46300	GO:0003735; GO:0005840; GO:0006412; GO:0019843
Q93V93	GO:0004601; GO:0005576; GO:0006979; GO:0009505; GO:0009664; GO:0020037; GO:0042744; GO:0046872
Q6Z8C8	GO:0004674; GO:0004693; GO:0005524; GO:0005634; GO:0005737; GO:0008353; GO:0010468; GO:0035556
Q923Y7	GO:0001594; GO:0001662; GO:0005886; GO:0007606; GO:0007635; GO:0008227; GO:0016021; GO:1990080
Q9XIA9	GO:0004467; GO:0005524; GO:0005783; GO:0006631; GO:0009506; GO:0010143; GO:0010311; GO:0031957; GO:0050832; GO:0102391
Q9MA41	GO:0005794; GO:0006032; GO:0009408; GO:0009414; GO:0009651; GO:0009735; GO:0009825; GO:0009873; GO:0010053; GO:0010167; GO:0010337; GO:0016998; GO:0030244; GO:0030247; GO:0048046
Q9SEE4	GO:0005634
Q5XH90	GO:0003333; GO:0005887; GO:0006814; GO:0015171; GO:0015293
Q9SD82	GO:0003677; GO:0005634; GO:0006260; GO:0006281; GO:0006310; GO:0010224; GO:0046872
O48670	GO:0005794; GO:0006890; GO:0016021
Q9ZPE7	GO:0005615; GO:0005618; GO:0005794; GO:0009505; GO:0009741; GO:0048046
Q93VD3	GO:0004674; GO:0005267; GO:0005524; GO:0005634; GO:0005737; GO:0005829; GO:0005886; GO:0007584; GO:0009414; GO:0009536; GO:0010107; GO:0010118; GO:0035556
Q8DI01	GO:0005737; GO:0006633; GO:0009245; GO:0047451
P32518	GO:0004170; GO:0006226; GO:0046080; GO:0046872
Q9ZPE4	GO:0005634; GO:0009737; GO:0010608; GO:0010629; GO:0016567
Q8LB72	GO:0009881; GO:0018298
Q9LR64	GO:0009507; GO:0009534; GO:0009535; GO:0009543; GO:0009579; GO:0010206; GO:0010207; GO:0071484
O80361	GO:0003735; GO:0005840; GO:0006412; GO:0009507; GO:0019843
C4Y4R9	GO:0005759; GO:0034551; GO:0044183
Q8VZB9	GO:0000470; GO:0003723; GO:0003735; GO:0005829; GO:0005886; GO:0006412; GO:0009506; GO:0022625; GO:0022626; GO:0042255; GO:0042256; GO:0042788
Q8LEB6	GO:0004675; GO:0005524; GO:0005886; GO:0006468; GO:0007166; GO:0016021
O81884	GO:0005829; GO:0006012; GO:0010349; GO:0019853
P48626	GO:0005789; GO:0006636; GO:0016021; GO:0016717
Q9SYM5	GO:0005829; GO:0008460; GO:0009506; GO:0010253; GO:0010280; GO:0010315; GO:0016491; GO:0016853; GO:0030154; GO:0042127; GO:0050377; GO:0051555; GO:0071555
Q9LUV1	GO:0009860; GO:0012505; GO:0046910; GO:0048046; GO:0071944; GO:0090404
P07602	GO:0001664; GO:0002576; GO:0004565; GO:0005543; GO:0005576; GO:0005615; GO:0005739; GO:0005764; GO:0005765; GO:0005886; GO:0006687; GO:0006869; GO:0007193; GO:0008047; GO:0008289; GO:0010506; GO:0016021; GO:0019216; GO:0035577; GO:0042803; GO:0043202; GO:0043231; GO:0043312; GO:0043410; GO:0060736; GO:0060742; GO:0070062; GO:0071310; GO:1903206; GO:1905572; GO:1905573; GO:1905574; GO:1905575; GO:1905576; GO:1905577
Q8W4E6	GO:0005768; GO:0005774; GO:0005794; GO:0005801; GO:0005802; GO:0005886; GO:0016020; GO:0016021; GO:0016757; GO:1990585
Q9M2K6	GO:0001872; GO:0004553; GO:0009506; GO:0030247; GO:0031225; GO:0046658
Q8GTS2	GO:0003677; GO:0003700; GO:0005634; GO:0006351; GO:0010043; GO:0043565
Q42429	GO:0000165; GO:0000977; GO:0003700; GO:0005634; GO:0006351; GO:0045944; GO:0046983
P51412	GO:0003735; GO:0005634; GO:0005840; GO:0006412; GO:0009409; GO:0009507; GO:0009570; GO:0009658; GO:0009793; GO:0009941; GO:0010027; GO:0019843
Q8W3M4	GO:0005576
Q6R2J8	GO:0004675; GO:0005524; GO:0005886; GO:0006468; GO:0007166; GO:0016021
F4JKH6	GO:0007049; GO:0007275; GO:0009737
