Solyc01g080010.2	GO:0005515
Solyc06g060570.3	GO:0003700; GO:0006355
Solyc03g114750.3	GO:0003700; GO:0005667; GO:0006355
Solyc06g063240.3	GO:0003700; GO:0006355
Solyc01g108490.3	GO:0016020; GO:0016021
Solyc09g005570.3	GO:0005488
Solyc06g074070.3	GO:0016021
Solyc04g016220.3	GO:0003951; GO:0008152; GO:0019674
Solyc11g069590.2	GO:0033743; GO:0055114
Solyc12g056200.2	GO:0006400; GO:0008176
Solyc05g032680.3	GO:0003677
Solyc05g005560.4	GO:0004650; GO:0005975
Solyc03g031800.3	GO:0005515
Solyc02g084600.3	GO:0003677
Solyc02g083120.2	GO:0009522; GO:0015979; GO:0016021; GO:0046872
Solyc07g054310.2	GO:0003676
Solyc06g072430.2	GO:0003735; GO:0005622; GO:0005840; GO:0006412; GO:0019843
Solyc01g111230.3	GO:0003676; GO:0008270
Solyc03g113350.3	GO:0005198; GO:0006886; GO:0016192; GO:0030126
Solyc06g065655.1	GO:0003700; GO:0006355
Solyc04g008310.2	GO:0005515
Solyc02g089690.3	GO:0005515
Solyc05g005550.3	GO:0016787
Solyc02g069430.3	GO:0006260; GO:0055114
Solyc07g064670.3	GO:0003883; GO:0006241
Solyc05g005570.3	GO:0004650; GO:0005975
Solyc02g077920.3	GO:0016020
Solyc04g071085.1	GO:0007165
Solyc02g079500.4	GO:0006470; GO:0008138
Solyc11g068440.2	GO:0005488
Solyc08g005800.3	GO:0005488
Solyc12g009490.2	GO:0006886; GO:0006888; GO:0030127
Solyc09g097780.2	GO:0006812; GO:0015299; GO:0016021
Solyc11g018580.2	GO:0004190; GO:0006508
Solyc03g096730.3	GO:0005484; GO:0006886; GO:0016020
Solyc02g086460.3	GO:0006812; GO:0015299; GO:0016021; GO:0055085
Solyc12g057040.2	GO:0008152; GO:0070569
Solyc01g086930.3	GO:0005576
Solyc06g066540.1	GO:0003676
Solyc05g014000.3	GO:0005975
Solyc02g085590.3	GO:0006952; GO:0009607
Solyc03g051790.3	GO:0016491; GO:0055114
Solyc06g071820.3	GO:0043531
Solyc08g075870.3	GO:0046912
Solyc12g087980.2	GO:0003774; GO:0005524; GO:0016459
Solyc02g030300.3	GO:0003824
Solyc08g082190.3	GO:0005783; GO:0006886; GO:0016021
Solyc03g120710.2	GO:0004672; GO:0006468
Solyc05g054350.3	GO:0004190; GO:0006508
