Entry	Gene ontology IDs
Q8LFP9	GO:0009688; GO:0009941; GO:0016021; GO:0016122; GO:0031969; GO:0032928
Q8TEQ8	GO:0005789; GO:0006506; GO:0016020; GO:0016021; GO:0051377
Q9FI25	GO:0005576; GO:0009505; GO:0016491; GO:0071949
F4KGE8	GO:0009639; GO:0009959
P28583	GO:0004683; GO:0005509; GO:0005516; GO:0005524; GO:0005634; GO:0005737; GO:0009738; GO:0009931; GO:0018105; GO:0035556; GO:0046777
Q9LV77	GO:0004066; GO:0005524; GO:0005829; GO:0006529; GO:0006541; GO:0009506; GO:0042538; GO:0070981; GO:0097164
Q9SKC9	GO:0005739; GO:0005747; GO:0005758; GO:0008137; GO:0009853; GO:0031966; GO:0045271
Q6R0E3	GO:0003677; GO:0005634
Q7XJE6	GO:0004197; GO:0006952; GO:0043068
Q8GYF7	GO:0005635; GO:0005730; GO:0006607; GO:0006999; GO:0017056; GO:0036228; GO:0044613; GO:0051028
Q94BR5	GO:0003677; GO:0004386; GO:0005524; GO:0005634; GO:0006325; GO:0046872; GO:0080188
Q9FGS8	GO:0016021
Q9SEZ1	GO:0003677; GO:0003700; GO:0005634; GO:0009414; GO:0042803; GO:0045893; GO:0046872
P43643	GO:0003746; GO:0003924; GO:0005525; GO:0005737
O22527	GO:0005773; GO:0015996; GO:0042742; GO:0047746; GO:0050832; GO:0102293
O65154	GO:0003677; GO:0003713; GO:0005634; GO:0005667; GO:0060261
P41153	GO:0003700; GO:0005634; GO:0043565
F4IH25	GO:0000463; GO:0000466; GO:0005654; GO:0005730; GO:0007276; GO:0030687; GO:0043021; GO:0051302; GO:0070545
O80377	GO:0000028; GO:0003735; GO:0006412; GO:0022627
O23160	GO:0003700; GO:0005634; GO:0006355; GO:0009723; GO:0009737; GO:0009751; GO:0009753; GO:0010200; GO:0010929; GO:0019760; GO:0043565; GO:0044212; GO:0046686; GO:1901001
Q9ZT91	GO:0003746; GO:0003924; GO:0005524; GO:0005525; GO:0005618; GO:0005739; GO:0006414; GO:0008270; GO:0046686; GO:0050897
Q52LR7	GO:0006281; GO:0006357; GO:0016573; GO:0032777
Q5Z8P0	GO:0004722; GO:0004724; GO:0016021; GO:0046872
Q9SS98	GO:0010344; GO:0012511; GO:0016021; GO:0019915; GO:0050826; GO:0055085
Q9C8T1	GO:0005524; GO:0016020; GO:0016887; GO:0017004; GO:0103115
Q9ZU65	GO:0005634; GO:0005886; GO:0045892
D9J034	GO:0003677; GO:0003697; GO:0005739; GO:0006281; GO:0006355; GO:0006952
P32026	GO:0005576; GO:0005618; GO:0005773; GO:0031640; GO:0050832
P0AAD4	GO:0005886; GO:0005887; GO:0015173
Q9SKQ4	GO:0009451
Q93VI8	GO:0003700; GO:0005634; GO:0005829; GO:0005886; GO:0006355; GO:0009536; GO:0009555; GO:0009620; GO:0044212
Q9M2F9	GO:0003729; GO:0004386; GO:0005524
Q39202	GO:0004674; GO:0005516; GO:0005524; GO:0005886; GO:0016021; GO:0030246
Q9SS01	GO:0005777; GO:0006952; GO:0018858; GO:0019761
Q9S7G6	GO:0000175; GO:0000957; GO:0000958; GO:0000963; GO:0000965; GO:0003723; GO:0004654; GO:0005739; GO:0005829; GO:0006364; GO:0006397; GO:0006401; GO:0008033; GO:0009507; GO:0009570
Q6YW64	GO:0003725; GO:0004525; GO:0005634; GO:0006396; GO:0030422; GO:0031053; GO:0031054
P81396	GO:0003677; GO:0005634
Q9SIK7	GO:0000139; GO:0004175; GO:0004190; GO:0005634; GO:0005789; GO:0005798; GO:0005887; GO:0007219; GO:0016485; GO:0043231
Q38850	GO:0003700; GO:0005634; GO:0010090; GO:0010214; GO:0010468; GO:0030154; GO:0043565; GO:0044212; GO:0048354
Q9SWS1	GO:0005794; GO:0016021; GO:0016491; GO:0046872
P46300	GO:0003735; GO:0005840; GO:0006412; GO:0019843
Q9XES0	GO:0009507; GO:0019288; GO:0030604; GO:0046872; GO:0070402
Q5SWX8	GO:0008104; GO:0016021
Q9C6T1	GO:0004631; GO:0005524; GO:0005777; GO:0010142; GO:0016126; GO:0019287
Q9LMX8	GO:0005829; GO:0005975; GO:0009051; GO:0017057
Q9FL07	GO:0016021; GO:0016567; GO:0016740; GO:0031625; GO:0046872
O80800	GO:0000035; GO:0000036; GO:0005739; GO:0005759; GO:0046872; GO:0050897; GO:0055114; GO:0070469
Q5MAU8	GO:0003993; GO:0005576; GO:0046872
