Entry	Gene ontology IDs
Q9LDX3	GO:0008643; GO:0015297; GO:0022857; GO:0030173; GO:0030176
P81396	GO:0003677; GO:0005634
Q9FYC7	GO:0006071; GO:0006629; GO:0008374; GO:0016021; GO:0046027
Q8RWI9	GO:0005524; GO:0005886; GO:0016021; GO:0016887; GO:0042626; GO:0055085; GO:0080167
P42211	GO:0004190; GO:0005773; GO:0006508; GO:0006629; GO:0030163
Q6K5P9	GO:0005618; GO:0030145; GO:0045735; GO:0048046
Q39202	GO:0004674; GO:0005516; GO:0005524; GO:0005886; GO:0016021; GO:0030246
Q76EJ0	GO:0003677; GO:0005634; GO:0010022; GO:0010094; GO:0010582; GO:0045165; GO:0046872; GO:0048366; GO:0048440; GO:0048479
F4I114	GO:0004693; GO:0005524; GO:0005634; GO:0006468
Q93WC4	GO:0003700; GO:0005634; GO:0009733; GO:0009734; GO:0010114; GO:0010218
P56725	GO:0006486; GO:0009690; GO:0016758; GO:0050404
P58519	GO:0004867; GO:0005773; GO:0019828
Q94CD1	GO:0010345; GO:0050734; GO:0052325; GO:0102406
Q8LC68	GO:0000724; GO:0005634; GO:0005737; GO:0006334; GO:0016444
P31237	GO:0009693; GO:0009815; GO:0009835; GO:0031418; GO:0046872
Q9FPN0	GO:0005887; GO:0009555; GO:0009901; GO:0051119
Q8L8A6	GO:0005524; GO:0005634; GO:0006351; GO:0006355; GO:0048366
Q9LHS9	GO:0003676; GO:0003700; GO:0005634; GO:0006355; GO:0009409; GO:0030154; GO:0046872; GO:0048441
Q9LZC5	GO:0005576; GO:0016042; GO:0016298
Q9SVY1	GO:0001709; GO:0003676; GO:0003700; GO:0005634; GO:0006355; GO:0009860; GO:0010468; GO:0010500; GO:0046872; GO:0080022; GO:1990058
Q9FMY4	GO:0016021
B8AXC3	GO:0003677; GO:0003700; GO:0005634; GO:0009909; GO:0010581; GO:0045892; GO:2000014
A2Y007	GO:0005634; GO:0006355; GO:0043565
Q9SVD0	GO:0019538
Q6VAA6	GO:0035251
P52839	GO:0005794; GO:0006952; GO:0008146; GO:0009651; GO:0009751; GO:0016131; GO:0080118; GO:1990135
Q2V4L8	GO:0005576; GO:0005618; GO:0005794; GO:0005886; GO:0008810; GO:0009505; GO:0030245; GO:0071555
Q9M836	GO:0003677; GO:0005634; GO:0007275; GO:0009299; GO:0009416; GO:0090698
O82117	GO:0003677; GO:0005634; GO:0008270; GO:0009908; GO:0009909; GO:0048577
P33082	GO:0009734
D2XNQ8	GO:0005901; GO:0009877
Q2V9B0	GO:0003677; GO:0005634; GO:0005829
Q9SD53	GO:0005886; GO:0016021
Q94AJ5	GO:0004650; GO:0005576; GO:0005975; GO:0009505; GO:0071555
F4IXE7	GO:0004402; GO:0005634; GO:0009506; GO:0010385; GO:0042393; GO:0043971; GO:0043972; GO:0044030; GO:0044154; GO:0046872; GO:0080188
Q9SS01	GO:0005777; GO:0006952; GO:0018858; GO:0019761
Q8W4K5	GO:0009733; GO:0009734; GO:0010087; GO:0010305
Q7XJE6	GO:0004197; GO:0006952; GO:0043068
Q9SUE3	GO:0003677; GO:0003700; GO:0005634; GO:0005737; GO:0009736; GO:0009873; GO:0048366
Q8GXU9	GO:0010075
Q00423	GO:0000786; GO:0003690; GO:0005634; GO:0005730; GO:0006334; GO:0006355; GO:0016584; GO:0030261; GO:0031492; GO:0031936; GO:0045910
Q9CPU0	GO:0004462; GO:0005634; GO:0005829; GO:0005886; GO:0005975; GO:0006357; GO:0006749; GO:0008270; GO:0009438; GO:0019243; GO:0030316; GO:0043066
Q9SS98	GO:0010344; GO:0012511; GO:0016021; GO:0019915; GO:0050826; GO:0055085
Q8RXC8	GO:0004675; GO:0005524; GO:0005634; GO:0005737; GO:0005886; GO:0006468; GO:0051020
O81416	GO:0005576; GO:0008810; GO:0030245; GO:0071555
Q1PFE1	GO:0003677; GO:0003700; GO:0005634; GO:0009873
O82243	GO:0005737; GO:0009941; GO:0016881
Q1PDV6	GO:0000187; GO:0004672; GO:0004675; GO:0005524; GO:0005886; GO:0006468; GO:0045087; GO:0045088; GO:0046658; GO:0071323; GO:1900150; GO:1900426
Q1PEB4	GO:0009707
Q9M2F9	GO:0003729; GO:0004386; GO:0005524
O64495	GO:0004252; GO:0009897; GO:0010103; GO:0042127; GO:0048046
Q9LRZ3	GO:0003723; GO:0005730; GO:0006417; GO:0009793
Q9FLI3	GO:0004722; GO:0004724; GO:0005634; GO:0005829; GO:0009737; GO:0009788; GO:0046872
Q9ZVN2	GO:0004144; GO:0009507; GO:0010287; GO:0019432; GO:0033306
Q9AV47	GO:0003677; GO:0005634; GO:0006355; GO:0009734
Q42952	GO:0006869; GO:0006952; GO:0008289; GO:0009607
Q10EL1	GO:0003677; GO:0046872
Q93YV0	GO:0000287; GO:0000304; GO:0005737; GO:0009611; GO:0009617; GO:0009753; GO:0010333; GO:0016102; GO:0080013; GO:0080027
O22152	GO:0003677; GO:0003700; GO:0005634; GO:0009909; GO:0009933; GO:0009944; GO:0010093; GO:0010154; GO:0010158; GO:0010450; GO:0045165; GO:0046872; GO:0090706; GO:1902183; GO:2000024
O22527	GO:0005773; GO:0015996; GO:0042742; GO:0047746; GO:0050832; GO:0102293
Q9MA60	GO:0003779; GO:0016021
Q9LSK9	GO:0005886; GO:0016021
Q8RZV7	GO:0004674; GO:0005524; GO:0005886; GO:0009554; GO:0009556; GO:0016021; GO:0048658
Q9ZR04	GO:0000079; GO:0000307; GO:0005634; GO:0005737; GO:0006468; GO:0016538; GO:0019901; GO:0044772; GO:0051301
O48927	GO:0005506; GO:0016020; GO:0016709; GO:0020037
O82587	GO:0005886; GO:0005887; GO:0008515; GO:0008643; GO:0009793; GO:0010431; GO:0015770; GO:0016021; GO:0051119; GO:0051260
Q9SJK6	GO:0005524; GO:0005886; GO:0009506; GO:0016021; GO:0016887; GO:0042626; GO:0055085
Q9SMM5	GO:0005886; GO:0005887; GO:0008515; GO:0008643; GO:0009793; GO:0010431; GO:0015770; GO:0016021; GO:0051119; GO:0051260
F4IQK5	GO:0045735
Q38826	GO:0005634; GO:0006355; GO:0009734; GO:1901332
Q9FUY2	GO:0001666; GO:0005634; GO:0006974; GO:0006979; GO:0009414; GO:0009611; GO:0009617; GO:0009620; GO:0009624; GO:0009733; GO:0009908; GO:0009909; GO:0009944; GO:0010073; GO:0010272; GO:0010393; GO:0030154; GO:0045892; GO:0045995; GO:0046898; GO:0048359; GO:0051512; GO:0071217; GO:0080001; GO:1902074; GO:1902183; GO:2000024
Q94KL7	GO:0009807; GO:0102911
F4HVY0	GO:0000170; GO:0005506; GO:0005789; GO:0008610; GO:0009414; GO:0009924; GO:0010025; GO:0016021; GO:0042742; GO:0043447; GO:0050832; GO:1990465
C0LGK9	GO:0004674; GO:0005524; GO:0016021
Q93YU8	GO:0005634; GO:0010167; GO:0015706; GO:0071249; GO:0071705; GO:1901698
Q589Y0	GO:0006805; GO:0009636; GO:0016420; GO:0047165
Q96B21	GO:0016021
Q08891	GO:0006629; GO:0009507; GO:0010345; GO:0010584; GO:0016628; GO:0035336; GO:0080019; GO:0102965
Q499B3	GO:0000123; GO:0005634; GO:0043981; GO:0043982; GO:0043984; GO:0044545
Q93Z00	GO:0003700; GO:0005634; GO:0006355; GO:0009735; GO:0009737; GO:0009739; GO:0010029; GO:0010229; GO:0031347; GO:0043565
O65695	GO:0009734; GO:0040008
O82281	GO:0005634
Q9FXE2	GO:0010088
A7R385	GO:0005886; GO:0016021
Q3UMQ8	GO:0000454; GO:0000493; GO:0003723; GO:0005634; GO:0005732; GO:0005737; GO:0042254; GO:0043489; GO:0051973; GO:0070034; GO:0090669; GO:1904358; GO:1905323
Q7XKE9	GO:0005198; GO:0005886; GO:0006886; GO:0030125; GO:0030130; GO:0030132; GO:0032050; GO:0048268; GO:0072583
Q9M2D9	GO:0003700; GO:0005634; GO:0009751; GO:0009753; GO:0009908; GO:0009909; GO:0030154; GO:0043565; GO:0044212
Q9LIS1	GO:0009535; GO:0009555; GO:0016747; GO:0042761; GO:0071555
O49660	GO:0005886; GO:0006855; GO:0015297; GO:0016021; GO:0042910; GO:0071244; GO:1902456
O23051	GO:0004497; GO:0005506; GO:0005783; GO:0005789; GO:0007275; GO:0009686; GO:0010268; GO:0016021; GO:0016125; GO:0016132; GO:0020037; GO:0051777; GO:0055114
Q5ZJ01	GO:0008474; GO:0014069; GO:0030054; GO:0043197; GO:0045211; GO:0055038
P80595	GO:0005524; GO:0016021; GO:0102485; GO:0102486; GO:0102487; GO:0102488; GO:0102489; GO:0102490; GO:0102491
K4C9E2	GO:0006744; GO:0009507; GO:0016120; GO:0016123; GO:0016491; GO:0016705; GO:0034020; GO:0045436
Q8H395	GO:0005634; GO:0009611; GO:0031347; GO:2000022
I6YGS0	GO:0009636; GO:0018742; GO:0042803
Q4V3D9	GO:0005773; GO:0005783; GO:0005886; GO:0009058; GO:0009505; GO:0009506; GO:0016020
Q41330	GO:0005634; GO:0006355; GO:0043565
O80874	GO:0003959; GO:0005739; GO:0005759; GO:0005777; GO:0031304; GO:0055114
Q9ZVD5	GO:0003682; GO:0004521; GO:0005654; GO:0005719; GO:0005730; GO:0006306; GO:0006342; GO:0006417; GO:0009816; GO:0015030; GO:0016458; GO:0019048; GO:0030422; GO:0031048; GO:0035197; GO:0035198; GO:0051567; GO:0051607; GO:0070919; GO:0080188
Q8L649	GO:0004842; GO:0008285; GO:0016567; GO:0031624; GO:0046621; GO:0046872; GO:0048437; GO:0051865; GO:1900057
Q2V6J9	GO:0047893; GO:0102360; GO:0102425
Q9FYS5	GO:0000786; GO:0003690; GO:0005634; GO:0005730; GO:0006334; GO:0006355; GO:0016584; GO:0030261; GO:0031492; GO:0031936; GO:0043565; GO:0045910; GO:2000014
Q8H443	GO:0003677; GO:0003700; GO:0005634; GO:0006355; GO:0009909; GO:0010228
Q9LUA9	GO:0003700; GO:0005634; GO:0005886; GO:0008270
Q52QU2	GO:0003677; GO:0003700; GO:0005634; GO:0009873
Q53MB8	GO:0005576; GO:0006952
