Entry	Gene ontology IDs
Q8LFY8	GO:0016021; GO:0016567; GO:0016740; GO:0046872
P46644	GO:0004069; GO:0005777; GO:0006103; GO:0006531; GO:0006536; GO:0009058; GO:0009507; GO:0009536; GO:0010150; GO:0016020; GO:0030170
Q9C7U7	GO:0001158; GO:0003700; GO:0005634; GO:0030154; GO:0043565; GO:0044212; GO:0045892; GO:1901002; GO:2000652
Q9LIE6	GO:0005634
Q9CAZ7	GO:0005773; GO:0005783; GO:0009058; GO:0009615; GO:0009620; GO:0009723; GO:0009751; GO:0009753; GO:0016020
Q9FF10	GO:0004566; GO:0005576; GO:0005618; GO:0005765; GO:0009505; GO:0009826
Q9C9W9	GO:0005634; GO:0005829; GO:0006355; GO:0007623; GO:0009637; GO:0009881; GO:0009908; GO:0009911; GO:0010468; GO:0016567; GO:0018298; GO:0019005
P24422	GO:0005774; GO:0015267; GO:0016021
Q41951	GO:0000326; GO:0005618; GO:0005773; GO:0005774; GO:0005794; GO:0005886; GO:0006833; GO:0009505; GO:0009506; GO:0009507; GO:0009705; GO:0009941; GO:0015200; GO:0015250; GO:0016021; GO:0042802; GO:0042807
A2ZMH2	GO:0004674; GO:0005524
Q9SJ81	GO:0005886; GO:0009834; GO:0016020; GO:0031225; GO:0046658
A8R7E6	GO:0002752; GO:0004672; GO:0004674; GO:0005524; GO:0005886; GO:0006468; GO:0008061; GO:0009817; GO:0010200; GO:0016021; GO:0016301; GO:0019199; GO:0032491; GO:0032499; GO:0035556; GO:0042742; GO:0042802; GO:0042803; GO:0043621; GO:0045087; GO:0046777; GO:0071219; GO:0071323; GO:2001080
Q8RUN2	GO:0005634; GO:0005829; GO:0009691; GO:0016799
Q67Y93	GO:0004861; GO:0005634; GO:0005654; GO:0007050; GO:0009737; GO:0010311; GO:0045736; GO:0045740; GO:0048366; GO:0048367; GO:0048527
Q9GKX6	GO:0004034; GO:0005737; GO:0006006; GO:0030246; GO:0033499
Q8RW93	GO:0005576
Q8GTS0	GO:0004439; GO:0034485; GO:0046856
P24397	GO:0031418; GO:0046872; GO:0047998
Q8LLE5	
Q9LII8	GO:0005886; GO:0009860; GO:0031347
Q6R0C4	GO:0003677; GO:0003700; GO:0005634; GO:0009414; GO:0009737; GO:0009834; GO:0071555; GO:1901347; GO:1901348; GO:1902074; GO:2000652
Q9FLD7	GO:0000139; GO:0005794; GO:0008375; GO:0009826; GO:0015020; GO:0016021
P85524	GO:0002253; GO:0006952
P45726	GO:0005737; GO:0006559; GO:0009800; GO:0045548
Q8LGJ5	GO:0001666; GO:0005634; GO:0005829; GO:0017172; GO:0018171; GO:0046872; GO:0070483
A5JTQ3	GO:0005576; GO:0009044; GO:0045493; GO:0046556
O82777	GO:0004252; GO:0005615; GO:0006508; GO:0006952; GO:0008236; GO:0009611; GO:0009827; GO:0010628; GO:0042802; GO:0042803; GO:0043171; GO:0097264; GO:1900367; GO:1902066
Q3EDL4	GO:0004674; GO:0004675; GO:0005524; GO:0005886; GO:0006468; GO:0016021; GO:0046777
Q6NKZ9	GO:0004675; GO:0005524; GO:0005886; GO:0006468; GO:0016021
C0LGD7	GO:0004674; GO:0005524; GO:0005886; GO:0016020; GO:0016021
Q9ZVD2	GO:0005886; GO:0009506; GO:0016021; GO:0042742
B8BKP4	GO:0005887; GO:0008515; GO:0051119
Q940Q4	GO:0016021; GO:0016567; GO:0016740; GO:0031625; GO:0046872; GO:0080167
P30359	GO:0008270; GO:0009809; GO:0045551; GO:0052747
Q9FHE4	GO:0004842; GO:0006952; GO:0043067; GO:0043161; GO:0046872
Q84JK8	GO:0005886; GO:0009738
Q9LZR3	GO:0000139; GO:0005794; GO:0009294; GO:0009617; GO:0016021; GO:0016757; GO:0047259; GO:0051753; GO:0071555
P22433	GO:0004497; GO:0009507; GO:0009853; GO:0016984; GO:0019253
Q8VYI9	GO:0006869; GO:0008289; GO:0031225; GO:0046658
P82735	GO:0005576; GO:0031640; GO:0050832
Q9M9H6	GO:0004103; GO:0005524; GO:0009611
P25871	GO:0006952; GO:0009607
Q7T012	GO:0016787
Q8W1D5	GO:0004674; GO:0005524; GO:0007165; GO:0050832
Q9FNN6	GO:0003677; GO:0003700; GO:0005634; GO:0006355; GO:0009414; GO:0009651; GO:0009738; GO:0009739; GO:0009751; GO:0009787; GO:0010116; GO:0045893; GO:1901001; GO:1901371; GO:1905615
Q9SEE4	GO:0005634
Q96316	GO:0009055; GO:0031225; GO:0046658; GO:0046872
Q9LFW3	GO:0005774; GO:0005886; GO:0009664; GO:0009832; GO:0009834; GO:0010215; GO:0031225; GO:0046658; GO:0052324
Q9LZP8	GO:0003700; GO:0005634; GO:0006971; GO:0009267; GO:0043565; GO:0044212; GO:0045735; GO:0045893; GO:0046982; GO:2000693
Q93XX5	GO:0005886; GO:0006629; GO:0008081; GO:0046658
