Entry	Gene ontology IDs
Q8H159	GO:0005634; GO:0005737; GO:0006464; GO:0009751
Q9SU63	GO:0004029; GO:0005524; GO:0005739; GO:0005759; GO:0009507; GO:0046686
Q39096	GO:0005737; GO:0009414; GO:0009617; GO:0009644
B6IUW3	GO:0003989; GO:0005524; GO:0006633; GO:0009317; GO:2001295
P24922	GO:0003743; GO:0003746; GO:0006452; GO:0043022; GO:0045901; GO:0045905
Q43585	GO:0000165; GO:0000977; GO:0003700; GO:0005634; GO:0006351; GO:0045944; GO:0046983
P26792	GO:0004575; GO:0005576; GO:0005618; GO:0005975
Q94B35	GO:0009507; GO:0009570; GO:0019288; GO:0046429; GO:0046872; GO:0050992; GO:0051538; GO:0051745
Q8L925	GO:0003677; GO:0003700; GO:0005634; GO:0006351; GO:0006355; GO:0009944; GO:0010254; GO:0010582; GO:0030154; GO:0046872; GO:0048440; GO:0048479
Q56WD9	GO:0003988; GO:0005730; GO:0005739; GO:0005774; GO:0005777; GO:0006635; GO:0009507; GO:0009514; GO:0009611; GO:0009695; GO:0009789; GO:0010111; GO:0016020; GO:0031408
P27322	GO:0005524
P24805	
Q9LPV4	GO:0015238; GO:0015297; GO:0016021; GO:0048767
Q339N5	GO:0000139; GO:0005794; GO:0005886; GO:0009833; GO:0016021; GO:0016759; GO:0016760; GO:0030244; GO:0071555
Q9FGS5	GO:0005886; GO:0009611; GO:0010167; GO:0015112; GO:0015706; GO:0016021; GO:0042128
Q5NUF4	GO:0009717; GO:0009813; GO:0033987; GO:0046287; GO:0052689
O82316	GO:0005887; GO:0009705; GO:0015250; GO:0034220; GO:0042807
I6YGS0	GO:0009636; GO:0018742; GO:0042803
Q9FVR6	GO:0003954; GO:0006979; GO:0009507; GO:0009579; GO:0010287; GO:1901006
P09701	GO:0019033
P46293	GO:0003735; GO:0005840; GO:0006412
P12424	GO:0004356; GO:0005524; GO:0005737; GO:0006542
O04899	GO:0009809; GO:0042409; GO:0046872
C0Z2L5	GO:0003700; GO:0005634; GO:0006351; GO:0009845; GO:0043565; GO:0044212; GO:0046982
